# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
         0     0.298854
         1     0.300789
         2     0.298854
# Cycle: 1, status: BTL, move: ('sh', 0.3007890721436057, 1, 0)
#     Time       Orderp
         0     0.300789
         1     0.300935
# Cycle: 2, status: BTL, move: ('sh', 0.3007890721436057, 1, 0)
#     Time       Orderp
         0     0.300789
         1     0.302676
# Cycle: 3, status: BTL, move: ('sh', 0.3007890721436057, 1, 0)
#     Time       Orderp
         0     0.300789
         1     0.303442
# Cycle: 4, status: BTL, move: ('sh', 0.3007890721436057, 1, 0)
#     Time       Orderp
         0     0.300789
         1     0.295558
# Cycle: 5, status: NCR, move: ('s+', 0.3636429349851767, 20, 14)
#     Time       Orderp
         0     0.298411
         1     0.304885
         2     0.311749
         3     0.316665
         4     0.323774
         5     0.328566
         6     0.333609
         7     0.338508
         8     0.342662
         9     0.346145
        10     0.350620
        11     0.353642
        12     0.357197
        13     0.360898
        14     0.363643
        15     0.366740
        16     0.369801
        17     0.371563
        18     0.374073
        19     0.375862
        20     0.376654
        21     0.378426
        22     0.378757
        23     0.379066
        24     0.379584
        25     0.379471
        26     0.378515
        27     0.379513
        28     0.377481
        29     0.377690
        30     0.376783
        31     0.375447
        32     0.374333
        33     0.373574
        34     0.370920
        35     0.369991
        36     0.367708
        37     0.364703
        38     0.362871
        39     0.359247
        40     0.355691
        41     0.352611
        42     0.348217
        43     0.343862
        44     0.340516
        45     0.335010
        46     0.330987
        47     0.326332
        48     0.320529
        49     0.315151
        50     0.309452
        51     0.301954
        52     0.296147
# Cycle: 6, status: NCR, move: ('s+', 0.3636429349851767, 20, 14)
#     Time       Orderp
         0     0.298411
         1     0.304885
         2     0.311749
         3     0.316665
         4     0.323774
         5     0.328566
         6     0.333609
         7     0.338508
         8     0.342662
         9     0.346145
        10     0.350620
        11     0.353642
        12     0.357197
        13     0.360898
        14     0.363643
        15     0.366740
        16     0.369801
        17     0.371563
        18     0.374073
        19     0.375862
        20     0.376654
        21     0.378426
        22     0.378757
        23     0.379066
        24     0.379584
        25     0.379471
        26     0.378515
        27     0.379513
        28     0.377481
        29     0.377690
        30     0.376783
        31     0.375447
        32     0.374333
        33     0.373574
        34     0.370920
        35     0.369991
        36     0.367708
        37     0.364703
        38     0.362871
        39     0.359247
        40     0.355691
        41     0.352611
        42     0.348217
        43     0.343862
        44     0.340516
        45     0.335010
        46     0.330987
        47     0.326332
        48     0.320529
        49     0.315151
        50     0.309452
        51     0.301954
        52     0.296147
# Cycle: 7, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.298854
         1     0.300789
         2     0.298854
# Cycle: 8, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.296147
         1     0.301954
         2     0.309452
         3     0.315151
         4     0.320529
         5     0.326332
         6     0.330987
         7     0.335010
         8     0.340516
         9     0.343862
        10     0.348217
        11     0.352611
        12     0.355691
        13     0.359247
        14     0.362871
        15     0.364703
        16     0.367708
        17     0.369991
        18     0.370920
        19     0.373574
        20     0.374333
        21     0.375447
        22     0.376783
        23     0.377690
        24     0.377481
        25     0.379513
        26     0.378515
        27     0.379471
        28     0.379584
        29     0.379066
        30     0.378757
        31     0.378426
        32     0.376654
        33     0.375862
        34     0.374073
        35     0.371563
        36     0.369801
        37     0.366740
        38     0.363643
        39     0.360898
        40     0.357197
        41     0.353642
        42     0.350620
        43     0.346145
        44     0.342662
        45     0.338508
        46     0.333609
        47     0.328566
        48     0.323774
        49     0.316665
        50     0.311749
        51     0.304885
        52     0.298411
# Cycle: 9, status: BTL, move: ('sh', 0.3007890721436057, 1, 0)
#     Time       Orderp
         0     0.300789
         1     0.300686
         2     0.300392
# Cycle: 10, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.298854
         1     0.300789
         2     0.298854
# Cycle: 11, status: BTL, move: ('sh', 0.3007890721436057, 1, 0)
#     Time       Orderp
         0     0.300789
         1     0.302545
# Cycle: 12, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.299040
         1     0.302802
         2     0.304372
         3     0.305893
         4     0.308533
         5     0.309966
         6     0.310715
         7     0.312921
         8     0.312444
         9     0.312749
        10     0.314216
        11     0.313489
        12     0.315167
        13     0.316407
        14     0.316882
        15     0.317958
        16     0.318998
        17     0.317630
        18     0.317945
        19     0.315779
        20     0.313793
        21     0.311052
        22     0.307992
        23     0.304010
        24     0.301946
        25     0.297265
# Cycle: 13, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.296957
         1     0.306088
         2     0.312194
         3     0.320855
         4     0.326189
         5     0.333141
         6     0.338039
         7     0.343577
         8     0.347119
         9     0.352033
        10     0.354646
        11     0.358587
        12     0.361209
        13     0.364214
        14     0.366740
        15     0.369226
        16     0.371428
        17     0.373400
        18     0.375642
        19     0.376701
        20     0.379081
        21     0.379424
        22     0.381012
        23     0.381003
        24     0.381860
        25     0.380760
        26     0.381714
        27     0.379671
        28     0.379955
        29     0.378091
        30     0.377161
        31     0.374987
        32     0.373978
        33     0.370573
        34     0.369360
        35     0.365846
        36     0.362941
        37     0.359799
        38     0.355948
        39     0.351822
        40     0.348095
        41     0.343383
        42     0.338647
        43     0.334576
        44     0.328360
        45     0.323732
        46     0.317213
        47     0.310692
        48     0.303261
        49     0.296010
# Cycle: 14, status: ACC, move: ('sh', 0.31640744740733634, 13, 8)
#     Time       Orderp
         0     0.298309
         1     0.301647
         2     0.305414
         3     0.308153
         4     0.309645
         5     0.312288
         6     0.312992
         7     0.314646
         8     0.316407
         9     0.317647
        10     0.319218
        11     0.321979
        12     0.322512
        13     0.324909
        14     0.326619
        15     0.327487
        16     0.329076
        17     0.330306
        18     0.330245
        19     0.330813
        20     0.329816
        21     0.327927
        22     0.326091
        23     0.323273
        24     0.320940
        25     0.319192
        26     0.317071
        27     0.315998
        28     0.314808
        29     0.312856
        30     0.311519
        31     0.309503
        32     0.306723
        33     0.304559
        34     0.301267
        35     0.296295
# Cycle: 15, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.296295
         1     0.301267
         2     0.304559
         3     0.306723
         4     0.309503
         5     0.311519
         6     0.312856
         7     0.314808
         8     0.315998
         9     0.317071
        10     0.319192
        11     0.320940
        12     0.323273
        13     0.326091
        14     0.327927
        15     0.329816
        16     0.330813
        17     0.330245
        18     0.330306
        19     0.329076
        20     0.327487
        21     0.326619
        22     0.324909
        23     0.322512
        24     0.321979
        25     0.319218
