# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -13.217631      38.593736
         1      -0.329927      25.959743
         2       1.151453      24.364325
         3      -2.785121      27.987717
         4      -0.722647      26.053111
         5      -2.160917      27.526337
         6      -9.679008      34.744434
         7      -9.277998      34.360690
         8      -6.877965      32.198001
         9      -3.095264      28.303252
        10      -6.183253      31.158596
        11       0.820290      24.388221
        12       5.834390      19.482327
        13       1.786345      23.327602
        14       3.879440      21.332542
        15       9.674276      15.827404
        16       6.272389      19.121050
        17       3.055216      22.234476
        18       8.142908      17.463666
        19       8.619000      17.094847
        20       3.023769      22.498932
        21       5.061081      20.596237
        22       8.392284      17.477143
        23       4.467892      21.192771
        24       3.116956      22.449076
        25       9.633564      16.181982
        26       8.847824      16.880513
        27       4.117913      21.310649
        28       7.336501      18.193326
        29       9.570155      16.039501
        30       3.809874      21.480507
        31       2.455074      22.748976
        32       6.762467      18.630656
        33       3.036128      22.191281
        34      -1.701591      26.691618
        35       2.120788      23.078404
# Cycle: 1, status: NCR, move: ('sh', 0.30171767961203944, 1, 17)
#     Time      Potential        Kinetic
         0       2.561884      20.121281
         1      -0.783158      23.240199
         2       2.451756      19.973289
         3       2.617472      19.967246
         4       3.047858      19.446818
         5      -3.607317      25.901619
         6      -1.011856      23.322698
         7      -1.011102      23.254286
         8      -5.058225      27.120385
         9      -5.052429      27.162938
        10      -5.227266      27.395356
        11     -11.967934      33.924609
        12     -12.871082      34.684786
        13      -7.378733      29.275470
        14      -3.783337      25.738468
        15      -2.021964      23.916429
        16      -1.607790      23.599629
        17      -0.329927      22.449076
        18     -11.988661      33.949725
        19     -12.263358      34.175000
        20     -13.348043      35.271200
# Cycle: 2, status: BTL, move: ('sh', 0.32441370139801695, 4, 0)
#     Time      Potential        Kinetic
         0      -0.722647      22.449076
         1      -1.280479      22.911192
         2      -8.000358      29.465571
         3      -8.483150      29.989164
         4     -10.300619      31.764120
         5     -10.098679      31.458064
         6      -6.948337      28.364201
         7      -2.380546      23.866131
         8      -4.307230      25.735507
         9      -4.950286      26.367910
        10      -4.004227      25.566175
        11      -4.318738      25.929685
        12      -4.590137      26.170528
        13      -1.150352      22.829655
        14       3.918816      17.849352
        15       6.346202      15.463662
        16       9.088854      12.792584
        17      11.652435      10.352624
        18      10.662551      11.350397
        19       8.723345      13.274003
        20      10.473762      11.605268
        21       8.457353      13.621372
        22       8.680167      13.332966
        23       9.301033      12.711267
        24      10.432518      11.574632
        25       8.290132      13.592268
        26       7.761428      14.052963
        27       7.013557      14.819958
        28       4.578059      17.183817
        29      -0.141600      21.788605
        30      -4.392915      25.983702
        31      -6.852021      28.387665
        32     -11.960961      33.407427
        33      -8.636819      30.087568
        34      -7.199850      28.634397
        35      -4.854945      26.254216
        36      -2.725289      24.150872
        37      -0.760712      22.255206
        38      -0.726971      22.273715
        39      -0.705939      22.315583
        40      -2.484802      24.117043
# Cycle: 3, status: BWI, move: ('sh', 0.4209282219268653, 20, 0)
#     Time      Potential        Kinetic
         0       3.023769      22.449076
         1       2.455205      23.087386
         2       5.707718      19.872598
         3       3.200802      22.336462
         4       4.905397      20.650745
         5       4.509063      21.071381
         6       3.927830      21.596182
         7       2.071302      23.423832
         8       4.820746      20.741122
         9       3.407540      22.137237
        10       3.059888      22.416277
        11       3.754559      21.710249
        12       3.707001      21.760025
        13       3.310435      22.081058
        14       3.064658      22.306099
        15       4.562900      20.855511
        16       4.114288      21.267661
# Cycle: 4, status: BTL, move: ('sh', 0.44688547191829425, 24, 0)
#     Time      Potential        Kinetic
         0       3.116956      22.449076
         1       6.623090      19.119225
         2      10.373304      15.480592
         3       6.780221      18.888923
         4       7.226633      18.421076
         5      10.631290      15.133418
         6       7.693197      17.905070
         7       4.645180      20.758249
         8       6.675382      18.821623
         9       6.783334      18.692382
        10       0.714713      24.513935
        11       0.890760      24.333596
        12       1.699445      23.631070
        13      -2.408210      27.563987
        14      -5.635759      30.653448
        15      -2.445727      27.617902
        16      -2.478519      27.676888
        17      -2.792184      27.864590
        18      -0.959320      26.148097
        19       4.536577      20.828603
        20       2.637235      22.619133
        21       2.932024      22.317246
        22       7.214528      18.273087
        23       7.908592      17.606338
        24       3.693941      21.689948
        25       6.854177      18.674785
        26       6.927178      18.729208
        27       4.647707      20.875217
        28       2.923964      22.618147
        29       5.326506      20.386611
        30       3.426002      22.193448
        31      -0.608855      26.053565
        32      -0.459160      26.024689
        33       3.570392      22.064604
        34      -2.680160      28.097596
        35      -2.361003      27.761453
        36       3.757755      21.839945
        37       2.026263      23.493282
        38      -0.207545      25.540932
# Cycle: 5, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0      -9.291275      26.796493
         1      -8.545699      26.086345
         2     -10.352556      27.894439
         3     -11.457869      28.989351
         4     -11.278694      28.823591
         5      -9.280161      26.838264
         6      -8.405960      25.937527
         7      -6.127501      23.628733
         8      -5.594732      23.093177
         9      -5.117662      22.579780
        10      -6.716345      24.136356
        11      -6.405991      23.828379
        12      -8.019911      25.430572
        13      -7.673754      25.037526
        14      -8.395614      25.732052
        15      -5.655606      22.991478
        16      -5.137252      22.449076
        17      -3.024531      20.342349
        18      -1.049001      18.426184
        19       0.605069      16.820279
        20       0.908166      16.534986
        21       1.591826      15.900425
        22       2.557154      15.003382
        23       1.980177      15.618985
        24       2.655522      15.005475
        25       2.565889      15.181372
        26       3.116956      14.672435
        27       1.589979      16.194504
        28       2.496463      15.309582
        29       2.084320      15.739546
        30       2.998620      14.796357
        31       2.165078      15.605315
        32       3.773939      13.979093
        33       2.613228      15.064020
        34       2.301384      15.278378
        35       1.731257      15.795808
        36       2.208200      15.267013
        37       0.724044      16.662903
        38       0.707593      16.623886
        39       0.689826      16.613039
        40      -0.072878      17.319287
        41      -0.391159      17.603803
        42       0.214156      17.035629
# Cycle: 6, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -13.217631      38.593736
         1      -0.329927      25.959743
         2       1.151453      24.364325
         3      -2.785121      27.987717
         4      -0.722647      26.053111
         5      -2.160917      27.526337
         6      -9.679008      34.744434
         7      -9.277998      34.360690
         8      -6.877965      32.198001
         9      -3.095264      28.303252
        10      -6.183253      31.158596
        11       0.820290      24.388221
        12       5.834390      19.482327
        13       1.786345      23.327602
        14       3.879440      21.332542
        15       9.674276      15.827404
        16       6.272389      19.121050
        17       3.055216      22.234476
        18       8.142908      17.463666
        19       8.619000      17.094847
        20       3.023769      22.498932
        21       5.061081      20.596237
        22       8.392284      17.477143
        23       4.467892      21.192771
        24       3.116956      22.449076
        25       9.633564      16.181982
        26       8.847824      16.880513
        27       4.117913      21.310649
        28       7.336501      18.193326
        29       9.570155      16.039501
        30       3.809874      21.480507
        31       2.455074      22.748976
        32       6.762467      18.630656
        33       3.036128      22.191281
        34      -1.701591      26.691618
        35       2.120788      23.078404
# Cycle: 7, status: BWI, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0       2.120788      23.078404
         1      -1.701591      26.691618
         2       3.036128      22.191281
         3       6.762467      18.630656
         4       2.455074      22.748976
         5       3.809874      21.480507
         6       9.570155      16.039501
         7       7.336501      18.193326
         8       4.117913      21.310649
         9       8.847824      16.880513
        10       9.633564      16.181982
        11       3.116956      22.449076
        12       4.467892      21.192771
        13       8.392284      17.477143
        14       5.061081      20.596237
        15       3.023769      22.498932
        16       8.619000      17.094847
        17       8.142908      17.463666
        18       3.055216      22.234476
        19       6.272389      19.121050
        20       9.674276      15.827404
        21       3.879440      21.332542
        22       1.786345      23.327602
        23       5.834390      19.482327
        24       0.820290      24.388221
        25      -6.183253      31.158596
        26      -3.095264      28.303252
        27      -6.877965      32.198001
        28      -9.277998      34.360690
        29      -9.679008      34.744434
        30      -2.160917      27.526337
        31      -0.722647      26.053111
        32      -2.785121      27.987717
        33       1.151453      24.364325
        34      -0.329927      25.959743
        35     -13.217631      38.593736
# Cycle: 8, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0      -9.291275      26.796493
         1      -8.545699      26.086345
         2     -10.352556      27.894439
         3     -11.457869      28.989351
         4     -11.278694      28.823591
         5      -9.280161      26.838264
         6      -8.405960      25.937527
         7      -6.127501      23.628733
         8      -5.594732      23.093177
         9      -5.117662      22.579780
        10      -6.716345      24.136356
        11      -6.405991      23.828379
        12      -8.019911      25.430572
        13      -7.673754      25.037526
        14      -8.395614      25.732052
        15      -5.655606      22.991478
        16      -5.137252      22.449076
        17      -3.024531      20.342349
        18      -1.049001      18.426184
        19       0.605069      16.820279
        20       0.908166      16.534986
        21       1.591826      15.900425
        22       2.557154      15.003382
        23       1.980177      15.618985
        24       2.655522      15.005475
        25       2.565889      15.181372
        26       3.116956      14.672435
        27       1.589979      16.194504
        28       2.496463      15.309582
        29       2.084320      15.739546
        30       2.998620      14.796357
        31       2.165078      15.605315
        32       3.773939      13.979093
        33       2.613228      15.064020
        34       2.301384      15.278378
        35       1.731257      15.795808
        36       2.208200      15.267013
        37       0.724044      16.662903
        38       0.707593      16.623886
        39       0.689826      16.613039
        40      -0.072878      17.319287
        41      -0.391159      17.603803
        42       0.214156      17.035629
# Cycle: 9, status: BTL, move: ('sh', 0.44257203631340924, 25, 0)
#     Time      Potential        Kinetic
         0       2.565889      22.449076
         1       4.299998      20.884907
         2       7.080044      18.362413
         3       8.183087      17.320221
         4       6.065136      19.435343
         5      10.031142      15.668596
         6      11.903193      13.951280
         7      11.440590      14.398319
         8      10.651807      15.250892
         9      14.004325      11.972755
        10       8.428605      17.393713
        11       8.006739      17.685223
        12       8.309969      17.442429
        13       9.747430      15.956950
        14       5.861139      19.650110
        15       8.085591      17.362866
        16       7.209420      18.161034
        17       5.468728      19.679945
        18       4.706248      20.351738
        19       7.770436      17.367859
        20       7.102608      17.942444
        21       4.867887      20.037392
        22       6.594822      18.357901
        23       6.749463      18.215421
        24       4.522858      20.320973
        25       4.493450      20.399970
        26       7.393061      17.642948
        27       5.341816      19.661618
        28       4.847455      20.140132
        29       6.697421      18.447877
        30       7.942491      17.238676
        31       5.105317      19.970714
        32       7.391173      17.768300
        33      10.156927      15.136778
        34       9.583608      15.673405
        35       9.582593      15.689858
        36      12.758854      12.666459
        37      11.980821      13.435549
        38       9.834205      15.508534
        39      11.617420      13.864643
        40      12.380667      13.216537
        41      10.358715      15.177532
        42       8.562533      17.003268
# Cycle: 10, status: BWI, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0       0.214156      17.035629
         1      -0.391159      17.603803
         2      -0.072878      17.319287
         3       0.689826      16.613039
         4       0.707593      16.623886
         5       0.724044      16.662903
         6       2.208200      15.267013
         7       1.731257      15.795808
         8       2.301384      15.278378
         9       2.613228      15.064020
        10       3.773939      13.979093
        11       2.165078      15.605315
        12       2.998620      14.796357
        13       2.084320      15.739546
        14       2.496463      15.309582
        15       1.589979      16.194504
        16       3.116956      14.672435
        17       2.565889      15.181372
        18       2.655522      15.005475
        19       1.980177      15.618985
        20       2.557154      15.003382
        21       1.591826      15.900425
        22       0.908166      16.534986
        23       0.605069      16.820279
        24      -1.049001      18.426184
        25      -3.024531      20.342349
        26      -5.137252      22.449076
        27      -5.655606      22.991478
        28      -8.395614      25.732052
        29      -7.673754      25.037526
        30      -8.019911      25.430572
        31      -6.405991      23.828379
        32      -6.716345      24.136356
        33      -5.117662      22.579780
        34      -5.594732      23.093177
        35      -6.127501      23.628733
        36      -8.405960      25.937527
        37      -9.280161      26.838264
        38     -11.278694      28.823591
        39     -11.457869      28.989351
        40     -10.352556      27.894439
        41      -8.545699      26.086345
        42      -9.291275      26.796493
# Cycle: 11, status: BTL, move: ('sh', 0.31249993114782904, 2, 0)
#     Time      Potential        Kinetic
         0     -10.352556      22.449076
         1      -7.582351      19.821705
         2     -11.281604      23.411441
         3     -15.144412      27.139852
         4     -10.889255      23.110437
         5      -8.708935      20.996463
         6     -11.136088      23.167726
         7      -9.321795      21.336614
         8      -3.801465      16.005724
         9      -5.279879      17.404634
        10      -6.520879      18.592609
        11      -1.915613      14.219829
        12      -1.720692      14.062159
        13      -5.490614      17.673064
        14      -2.777012      15.105585
        15      -0.789712      13.277943
        16      -4.803805      17.103031
        17      -7.024961      19.270643
        18      -1.324553      13.814460
        19      -2.409309      14.887420
        20      -3.942857      16.288020
        21      -0.027364      12.517753
        22       2.069348      10.475187
        23      -1.622721      13.940613
        24      -0.554837      12.901098
        25       3.923890       8.626976
        26       1.052725      11.365699
        27      -2.161803      14.435451
        28       0.342464      12.071699
        29      -0.516663      12.906762
        30      -5.792942      17.963622
        31      -4.028603      16.299240
        32      -0.755080      13.175156
        33      -4.224579      16.439028
        34      -5.808325      17.914240
        35      -2.149087      14.395185
        36      -4.043755      16.222337
        37      -7.459002      19.521254
        38      -5.435682      17.690729
        39      -4.986069      17.313173
        40     -11.287380      23.357526
        41     -11.332879      23.374487
        42      -8.079000      20.297376
        43      -8.336320      20.493696
        44      -9.785466      21.877155
        45      -5.409140      17.697450
        46      -5.812790      18.123111
        47      -9.976015      22.116219
        48      -9.365410      21.620961
        49      -7.581866      20.007521
        50     -11.799542      24.088660
        51     -13.922058      26.178308
# Cycle: 12, status: ACC, move: ('00', 0, 0, 0)
