# Cycle: 38238, status: ACC
#     Step              Filename       index    vel
         0    010_8318_trajB.xyz           4     -1
         1    010_8318_trajB.xyz           3     -1
         2    010_8318_trajB.xyz           2     -1
         3    010_8318_trajB.xyz           1     -1
         4    010_8318_trajB.xyz           0     -1
         5    010_8319_trajF.xyz           1      1
         6    010_8319_trajF.xyz           2      1
         7    010_8319_trajF.xyz           3      1
         8    010_8319_trajF.xyz           4      1
         9    010_8319_trajF.xyz           5      1
