# Cycle: 30223, status: ACC, move: ('sh', -1.3148063593177128, 2, 2)
#     Time      Potential        Kinetic
         0       0.005168       0.001573
         1       0.005241       0.001498
         2       0.004077       0.002648
         3       0.004925       0.001792
         4       0.002800       0.003896
         5       0.004190       0.002503
         6       0.002226       0.004451
         7       0.003513       0.003171
         8       0.002968       0.003715
         9       0.003314       0.003382
