# Cycle: 943, status: ACC
#     Step              Filename       index    vel
         0     013_287_trajB.xyz           7     -1
         1     013_287_trajB.xyz           6     -1
         2     013_287_trajB.xyz           5     -1
         3     013_287_trajB.xyz           4     -1
         4     013_287_trajB.xyz           3     -1
         5     013_287_trajB.xyz           2     -1
         6     013_287_trajB.xyz           1     -1
         7     013_287_trajB.xyz           0     -1
         8     013_288_trajF.xyz           1      1
         9     013_288_trajF.xyz           2      1
        10     013_288_trajF.xyz           3      1
        11     013_288_trajF.xyz           4      1
        12     013_288_trajF.xyz           5      1
