# Cycle: 38874, status: ACC, move: ('sh', 0.3059170280118699, 5, 6)
#     Time      Potential        Kinetic
         0       0.003396       0.009808
         1       0.004787       0.008442
         2       0.007012       0.006234
         3       0.006144       0.007106
         4       0.008086       0.005148
         5       0.008348       0.004854
         6       0.007120       0.006060
         7       0.007106       0.006074
         8       0.008356       0.004838
         9       0.007622       0.005583
        10       0.008529       0.004688
        11       0.008139       0.005071
        12       0.005465       0.007741
        13       0.006514       0.006714
        14       0.003086       0.010146
