# Cycle: 5126, status: ACC, move: ('sh', 0.4624877799675832, 6, 5)
#     Time      Potential        Kinetic
         0       0.002722       0.007171
         1       0.003827       0.006055
         2       0.004989       0.004873
         3       0.005869       0.003987
         4       0.007296       0.002578
         5       0.007883       0.002016
         6       0.008148       0.001764
         7       0.006146       0.003760
         8       0.004262       0.005633
         9       0.001368       0.008514
