# Cycle: 63, status: ACC, move: ('wf', 9000, 2, 19)
#     Time       Orderp
         0     0.344385
         1     0.355523
         2     0.365489
         3     0.374051
         4     0.381154
         5     0.386815
         6     0.391072
         7     0.393964
         8     0.395521
         9     0.395760
        10     0.394683
        11     0.392279
        12     0.388521
        13     0.383375
        14     0.376799
        15     0.368766
        16     0.359296
        17     0.348539
        18     0.336942
