# Re-calculated order parameters.
#     Time       Orderp
         0     0.271031
         1     0.272123
         2     0.273217
         3     0.274296
         4     0.275338
         5     0.276320
         6     0.277219
         7     0.278014
         8     0.278686
         9     0.279223
        10     0.279612
        11     0.279849
        12     0.279931
        13     0.279862
        14     0.279648
        15     0.279297
        16     0.278822
        17     0.278236
        18     0.277553
        19     0.276785
        20     0.275944
        21     0.275041
        22     0.274075
        23     0.273063
        24     0.272010
        25     0.270923
        26     0.269810
        27     0.268676
        28     0.267530
        29     0.266379
        30     0.265232
        31     0.264100
        32     0.262996
        33     0.261931
        34     0.260922
        35     0.259987
        36     0.259145
        37     0.258414
        38     0.257815
        39     0.257362
        40     0.257071
        41     0.256951
        42     0.257010
        43     0.257252
        44     0.257678
        45     0.258284
        46     0.259063
        47     0.260004
        48     0.261088
        49     0.262297
        50     0.263606
        51     0.264988
        52     0.266411
        53     0.267845
        54     0.269259
        55     0.270626
        56     0.271920
        57     0.273118
        58     0.274205
        59     0.275166
        60     0.275992
        61     0.276677
        62     0.277221
        63     0.277624
        64     0.277888
        65     0.278022
        66     0.278034
        67     0.277937
        68     0.277743
        69     0.277464
        70     0.277112
        71     0.276699
        72     0.276236
        73     0.275728
        74     0.275180
        75     0.274595
        76     0.273974
        77     0.273318
        78     0.272627
        79     0.271905
        80     0.271158
        81     0.270395
        82     0.269623
        83     0.268857
        84     0.268111
        85     0.267397
        86     0.266730
        87     0.266120
        88     0.265582
        89     0.265128
        90     0.264768
        91     0.264512
        92     0.264366
        93     0.264331
        94     0.264405
        95     0.264580
        96     0.264843
        97     0.265178
        98     0.265567
        99     0.265990
       100     0.266426
