# Cycle: 0, status: ACC
#     Step              Filename       index    vel
         0       004_1_trajB.trr           0      1
         1       004_1_trajB.trr           1      1
         2       004_1_trajB.trr           2      1
         3       004_1_trajB.trr           3      1
         4       004_1_trajB.trr           4      1
         5       004_1_trajB.trr           5      1
         6       004_1_trajB.trr           6      1
         7       004_1_trajB.trr           7      1
         8       004_1_trajB.trr           8      1
         9       004_1_trajB.trr           9      1
        10       004_1_trajB.trr          10      1
        11       004_1_trajB.trr          11      1
        12       004_1_trajB.trr          12      1
        13       004_1_trajB.trr          13      1
        14       004_1_trajB.trr          14      1
        15       004_1_trajB.trr          15      1
        16       004_1_trajB.trr          16      1
        17       004_1_trajB.trr          17      1
        18       004_1_trajB.trr          18      1
        19       004_1_trajB.trr          19      1
        20       004_1_trajB.trr          20      1
        21       004_1_trajB.trr          21      1
        22       004_1_trajB.trr          22      1
        23       004_1_trajB.trr          23      1
        24       004_1_trajB.trr          24      1
        25       004_1_trajB.trr          25      1
        26       004_1_trajB.trr          26      1
        27       004_1_trajB.trr          27      1
        28       004_1_trajB.trr          28      1
        29       004_1_trajB.trr          29      1
        30       004_1_trajB.trr          30      1
        31       004_1_trajB.trr          31      1
        32       004_1_trajB.trr          32      1
        33       004_1_trajB.trr          33      1
        34       004_1_trajB.trr          34      1
        35       004_1_trajB.trr          35      1
        36       004_1_trajB.trr          36      1
        37       004_1_trajB.trr          37      1
        38       004_1_trajB.trr          38      1
        39       004_1_trajB.trr          39      1
        40       004_1_trajB.trr          40      1
        41       004_1_trajB.trr          41      1
        42       004_1_trajB.trr          42      1
        43       004_1_trajB.trr          43      1
        44       004_1_trajB.trr          44      1
        45       004_1_trajB.trr          45      1
        46       004_1_trajB.trr          46      1
        47       004_1_trajB.trr          47      1
        48       004_1_trajB.trr          48      1
        49       004_1_trajB.trr          49      1
        50       004_1_trajB.trr          50      1
        51       004_1_trajB.trr          51      1
        52       004_1_trajB.trr          52      1
        53       004_1_trajB.trr          53      1
        54       004_1_trajB.trr          54      1
        55       004_1_trajB.trr          55      1
        56       004_1_trajB.trr          56      1
        57       004_1_trajB.trr          57      1
        58       004_1_trajB.trr          58      1
        59       004_1_trajB.trr          59      1
        60       004_1_trajB.trr          60      1
        61       004_1_trajB.trr          61      1
        62       004_1_trajB.trr          62      1
        63       004_1_trajB.trr          63      1
        64       004_1_trajB.trr          64      1
        65       004_1_trajB.trr          65      1
        66       004_1_trajB.trr          66      1
