# Cycle: 0, status: ACC
#     Step              Filename       index    vel
         0       003_1_trajB.trr           0      1
         1       003_1_trajB.trr           1      1
         2       003_1_trajB.trr           2      1
         3       003_1_trajB.trr           3      1
         4       003_1_trajB.trr           4      1
         5       003_1_trajB.trr           5      1
         6       003_1_trajB.trr           6      1
         7       003_1_trajB.trr           7      1
         8       003_1_trajB.trr           8      1
         9       003_1_trajB.trr           9      1
        10       003_1_trajB.trr          10      1
        11       003_1_trajB.trr          11      1
        12       003_1_trajB.trr          12      1
        13       003_1_trajB.trr          13      1
        14       003_1_trajB.trr          14      1
        15       003_1_trajB.trr          15      1
        16       003_1_trajB.trr          16      1
        17       003_1_trajB.trr          17      1
        18       003_1_trajB.trr          18      1
        19       003_1_trajB.trr          19      1
        20       003_1_trajB.trr          20      1
        21       003_1_trajB.trr          21      1
        22       003_1_trajB.trr          22      1
        23       003_1_trajB.trr          23      1
        24       003_1_trajB.trr          24      1
        25       003_1_trajB.trr          25      1
        26       003_1_trajB.trr          26      1
        27       003_1_trajB.trr          27      1
        28       003_1_trajB.trr          28      1
        29       003_1_trajB.trr          29      1
        30       003_1_trajB.trr          30      1
        31       003_1_trajB.trr          31      1
        32       003_1_trajB.trr          32      1
        33       003_1_trajB.trr          33      1
        34       003_1_trajB.trr          34      1
        35       003_1_trajB.trr          35      1
        36       003_1_trajB.trr          36      1
        37       003_1_trajB.trr          37      1
        38       003_1_trajB.trr          38      1
        39       003_1_trajB.trr          39      1
        40       003_1_trajB.trr          40      1
        41       003_1_trajB.trr          41      1
        42       003_1_trajB.trr          42      1
        43       003_1_trajB.trr          43      1
        44       003_1_trajB.trr          44      1
        45       003_1_trajB.trr          45      1
        46       003_1_trajB.trr          46      1
        47       003_1_trajB.trr          47      1
        48       003_1_trajB.trr          48      1
        49       003_1_trajB.trr          49      1
        50       003_1_trajB.trr          50      1
        51       003_1_trajB.trr          51      1
        52       003_1_trajB.trr          52      1
        53       003_1_trajB.trr          53      1
        54       003_1_trajB.trr          54      1
        55       003_1_trajB.trr          55      1
        56       003_1_trajB.trr          56      1
        57       003_1_trajB.trr          57      1
        58       003_1_trajB.trr          58      1
        59       003_1_trajB.trr          59      1
        60       003_1_trajB.trr          60      1
        61       003_1_trajB.trr          61      1
        62       003_1_trajB.trr          62      1
        63       003_1_trajB.trr          63      1
        64       003_1_trajB.trr          64      1
        65       003_1_trajB.trr          65      1
        66       003_1_trajB.trr          66      1
        67       003_1_trajB.trr          67      1
        68       003_1_trajB.trr          68      1
        69       003_1_trajB.trr          69      1
        70       003_1_trajB.trr          70      1
        71       003_1_trajB.trr          71      1
        72       003_1_trajB.trr          72      1
        73       003_1_trajB.trr          73      1
        74       003_1_trajB.trr          74      1
        75       003_1_trajB.trr          75      1
        76       003_1_trajB.trr          76      1
        77       003_1_trajB.trr          77      1
        78       003_1_trajB.trr          78      1
        79       003_1_trajB.trr          79      1
        80       003_1_trajB.trr          80      1
        81       003_1_trajB.trr          81      1
        82       003_1_trajB.trr          82      1
        83       003_1_trajB.trr          83      1
        84       003_1_trajB.trr          84      1
        85       003_1_trajB.trr          85      1
        86       003_1_trajB.trr          86      1
        87       003_1_trajB.trr          87      1
        88       003_1_trajB.trr          88      1
        89       003_1_trajB.trr          89      1
        90       003_1_trajB.trr          90      1
        91       003_1_trajB.trr          91      1
        92       003_1_trajB.trr          92      1
        93       003_1_trajB.trr          93      1
        94       003_1_trajB.trr          94      1
        95       003_1_trajB.trr          95      1
        96       003_1_trajB.trr          96      1
        97       003_1_trajB.trr          97      1
        98       003_1_trajB.trr          98      1
        99       003_1_trajB.trr          99      1
       100       003_1_trajB.trr         100      1
       101       003_1_trajB.trr         101      1
       102       003_1_trajB.trr         102      1
       103       003_1_trajB.trr         103      1
       104       003_1_trajB.trr         104      1
       105       003_1_trajB.trr         105      1
       106       003_1_trajB.trr         106      1
       107       003_1_trajB.trr         107      1
       108       003_1_trajB.trr         108      1
       109       003_1_trajB.trr         109      1
       110       003_1_trajB.trr         110      1
       111       003_1_trajB.trr         111      1
       112       003_1_trajB.trr         112      1
       113       003_1_trajB.trr         113      1
       114       003_1_trajB.trr         114      1
       115       003_1_trajB.trr         115      1
       116       003_1_trajB.trr         116      1
       117       003_1_trajB.trr         117      1
       118       003_1_trajB.trr         118      1
       119       003_1_trajB.trr         119      1
       120       003_1_trajB.trr         120      1
       121       003_1_trajB.trr         121      1
       122       003_1_trajB.trr         122      1
       123       003_1_trajB.trr         123      1
       124       003_1_trajB.trr         124      1
       125       003_1_trajB.trr         125      1
       126       003_1_trajB.trr         126      1
       127       003_1_trajB.trr         127      1
       128       003_1_trajB.trr         128      1
       129       003_1_trajB.trr         129      1
       130       003_1_trajB.trr         130      1
       131       003_1_trajB.trr         131      1
       132       003_1_trajB.trr         132      1
       133       003_1_trajB.trr         133      1
       134       003_1_trajB.trr         134      1
       135       003_1_trajB.trr         135      1
       136       003_1_trajB.trr         136      1
       137       003_1_trajB.trr         137      1
       138       003_1_trajB.trr         138      1
       139       003_1_trajB.trr         139      1
       140       003_1_trajB.trr         140      1
       141       003_1_trajB.trr         141      1
       142       003_1_trajB.trr         142      1
       143       003_1_trajB.trr         143      1
       144       003_1_trajB.trr         144      1
       145       003_1_trajB.trr         145      1
       146       003_1_trajB.trr         146      1
       147       003_1_trajB.trr         147      1
       148       003_1_trajB.trr         148      1
       149       003_1_trajB.trr         149      1
       150       003_1_trajB.trr         150      1
       151       003_1_trajB.trr         151      1
       152       003_1_trajB.trr         152      1
       153       003_1_trajB.trr         153      1
       154       003_1_trajB.trr         154      1
       155       003_1_trajB.trr         155      1
       156       003_1_trajB.trr         156      1
       157       003_1_trajB.trr         157      1
       158       003_1_trajB.trr         158      1
       159       003_1_trajB.trr         159      1
       160       003_1_trajB.trr         160      1
