# Cycle: 2166, status: ACC, move: ('sh', -0.15167942586196873, 5, 4)
#     Time      Potential        Kinetic
         0       1.486727      24.493011
         1       1.214632      24.771662
         2       5.721690      20.277866
         3      10.465338      15.544321
         4      14.130022      11.904922
         5      13.460617      12.574818
         6      12.415379      13.621941
         7       5.836783      20.184029
         8       7.102554      18.925453
         9       5.024176      21.007351
