# Cycle: 50, status: ACC, move: ('wf', 9000, 3, 26)
#     Time       Orderp
         0     0.339844
         1     0.354083
         2     0.367246
         3     0.378933
         4     0.389093
         5     0.397778
         6     0.405202
         7     0.411372
         8     0.416444
         9     0.420312
        10     0.423102
        11     0.424927
        12     0.425775
        13     0.425695
        14     0.424618
        15     0.422544
        16     0.419542
        17     0.415593
        18     0.410604
        19     0.404463
        20     0.397109
        21     0.388536
        22     0.378594
        23     0.367191
        24     0.354419
        25     0.340525
