# Cycle: 199994, status: ACC, move: None
#     Time       Orderp
         0    -0.992733
         1    -0.988859
         2    -0.984388
         3    -0.980150
         4    -0.976341
         5    -0.972874
         6    -0.969175
         7    -0.964917
         8    -0.960057
         9    -0.955841
        10    -0.952126
        11    -0.948826
        12    -0.945027
        13    -0.941319
        14    -0.937530
        15    -0.934616
        16    -0.931965
        17    -0.928509
        18    -0.926080
        19    -0.924135
        20    -0.922737
        21    -0.921302
        22    -0.920183
        23    -0.919218
        24    -0.918919
        25    -0.919030
        26    -0.919189
        27    -0.919601
        28    -0.920162
        29    -0.921437
        30    -0.923814
        31    -0.926433
        32    -0.930118
        33    -0.933534
        34    -0.937090
        35    -0.939713
        36    -0.942118
        37    -0.945495
        38    -0.949377
        39    -0.953442
        40    -0.958055
        41    -0.963921
        42    -0.969976
        43    -0.975895
        44    -0.982325
        45    -0.989378
        46    -0.997264
