# Cycle: 199999, status: ACC
#     Step              Filename       index    vel
         0   003_48833_trajB.xyz          12     -1
         1   003_48833_trajB.xyz          11     -1
         2   003_48833_trajB.xyz          10     -1
         3   003_48833_trajB.xyz           9     -1
         4   003_48833_trajB.xyz           8     -1
         5   003_48833_trajB.xyz           7     -1
         6   003_48833_trajB.xyz           6     -1
         7   003_48833_trajB.xyz           5     -1
         8   003_48833_trajB.xyz           4     -1
         9   003_48833_trajB.xyz           3     -1
        10   003_48833_trajB.xyz           2     -1
        11   003_48833_trajB.xyz           1     -1
        12   003_48833_trajB.xyz           0     -1
        13   003_48834_trajF.xyz           1      1
        14   003_48834_trajF.xyz           2      1
        15   003_48834_trajF.xyz           3      1
        16   003_48834_trajF.xyz           4      1
        17   003_48834_trajF.xyz           5      1
        18   003_48834_trajF.xyz           6      1
        19   003_48834_trajF.xyz           7      1
        20   003_48834_trajF.xyz           8      1
        21   003_48834_trajF.xyz           9      1
        22   003_48834_trajF.xyz          10      1
        23   003_48834_trajF.xyz          11      1
        24   003_48834_trajF.xyz          12      1
        25   003_48834_trajF.xyz          13      1
        26   003_48834_trajF.xyz          14      1
        27   003_48834_trajF.xyz          15      1
        28   003_48834_trajF.xyz          16      1
        29   003_48834_trajF.xyz          17      1
        30   003_48834_trajF.xyz          18      1
        31   003_48834_trajF.xyz          19      1
        32   003_48834_trajF.xyz          20      1
        33   003_48834_trajF.xyz          21      1
        34   003_48834_trajF.xyz          22      1
        35   003_48834_trajF.xyz          23      1
        36   003_48834_trajF.xyz          24      1
        37   003_48834_trajF.xyz          25      1
        38   003_48834_trajF.xyz          26      1
        39   003_48834_trajF.xyz          27      1
        40   003_48834_trajF.xyz          28      1
