# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -14.664982      20.247638
         1     -14.180651      19.818362
         2     -16.127924      21.762729
         3     -14.477097      20.196474
         4     -14.435267      20.240105
         5     -12.534173      18.356601
         6     -12.105849      17.973335
         7     -12.943936      18.865130
         8     -15.847569      21.774127
         9     -17.684346      23.598614
        10     -14.860042      20.846692
        11     -11.037948      17.036215
        12     -11.262583      17.181216
        13     -13.602671      19.504570
        14     -16.651416      22.589273
        15     -17.276316      23.163570
        16     -13.542296      19.383566
        17     -10.300644      16.226570
        18     -14.278101      20.170639
        19     -20.156151      25.944659
        20     -17.354674      23.212115
        21     -13.491777      19.437606
        22     -12.242824      18.091061
        23     -15.884417      21.689313
        24     -16.920757      22.752191
        25     -19.664026      25.388617
        26     -17.473943      23.101138
        27     -14.924920      20.567056
        28     -12.966798      18.572985
        29     -16.974037      22.449076
        30     -17.318679      22.784832
