# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -11.658916      27.394949
         1     -11.536812      27.373868
         2      -9.798292      25.611957
         3     -12.994154      28.737695
         4     -10.986065      26.795986
         5      -8.715489      24.579195
         6      -9.436800      25.255414
         7      -8.952076      24.773001
         8      -5.543896      21.427293
         9      -7.098690      22.970464
        10      -6.615260      22.449076
        11      -5.164260      21.026340
        12      -6.536291      22.412800
        13      -5.468153      21.287232
        14      -6.784120      22.569254
        15      -6.690579      22.493840
        16      -6.568598      22.350426
        17      -8.036393      23.767272
        18      -9.197116      24.931582
        19      -6.521446      22.284122
        20      -8.276139      23.990933
        21      -8.130103      23.803061
        22      -6.207592      21.881430
        23      -6.872394      22.534167
        24      -6.675964      22.326426
        25      -5.283744      20.998147
        26      -5.583428      21.347948
        27      -6.953962      22.670640
        28      -8.812782      24.489525
        29      -9.997886      25.695056
        30      -8.387600      24.109122
        31      -8.549735      24.307667
        32      -4.875005      20.715241
        33      -3.216001      19.059874
        34      -2.641690      18.426538
        35      -1.785200      17.558881
        36      -0.294058      16.096839
        37       0.098550      15.717322
        38       0.174644      15.649163
        39       0.420944      15.417833
        40       0.015832      15.796003
        41      -0.967109      16.723282
        42      -0.265605      16.023024
        43      -0.144569      15.930194
        44      -0.575307      16.350997
        45      -1.929378      17.689967
        46      -3.930203      19.701995
        47      -7.560323      23.315503
        48     -10.503834      26.233694
        49     -12.397632      28.172709
        50     -14.093219      29.890244
# Cycle: 1, status: NCR, move: ('sh', 0.32272486829607044, 45, 36)
#     Time      Potential        Kinetic
         0       3.519820      17.666724
         1      -1.048000      22.089868
         2      -3.802076      24.798628
         3      -3.685581      24.705130
         4      -7.722144      28.530763
         5      -6.383318      27.150980
         6      -0.338185      21.332995
         7       0.066915      20.894947
         8      -3.941341      24.680471
         9      -4.526411      25.254630
        10      -5.673470      26.425064
        11      -9.666802      30.256040
        12      -8.893726      29.482551
        13      -6.026667      26.814433
        14      -3.027643      23.824926
        15      -5.081937      25.737223
        16      -1.268193      22.058567
        17       2.682127      18.292789
        18       0.754916      20.149298
        19       0.250727      20.658143
        20       2.758736      18.370771
        21       3.691050      17.499883
        22       0.718928      20.418766
        23       4.055648      17.236376
        24       5.676185      15.660825
        25       2.536694      18.596842
        26       2.939028      18.148527
        27       6.649710      14.551182
        28       5.858066      15.270249
        29       3.715092      17.283155
