# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
         0     0.295345
         1     0.301718
         2     0.308927
         3     0.316523
         4     0.324414
         5     0.332518
         6     0.340454
         7     0.347450
         8     0.353079
         9     0.358425
        10     0.362936
        11     0.367401
        12     0.371916
        13     0.377089
        14     0.382412
        15     0.387922
        16     0.394196
        17     0.400814
        18     0.406918
        19     0.414566
        20     0.420928
        21     0.428262
        22     0.434627
        23     0.441189
        24     0.446885
        25     0.452424
        26     0.457236
        27     0.462359
        28     0.466782
        29     0.471371
        30     0.476315
        31     0.480857
        32     0.485691
        33     0.490981
        34     0.496133
        35     0.501229
# Cycle: 1, status: NCR, move: ('sh', 0.30171767961203944, 1, 17)
#     Time       Orderp
         0     0.296373
         1     0.300327
         2     0.302621
         3     0.306157
         4     0.307955
         5     0.310540
         6     0.312251
         7     0.312836
         8     0.313923
         9     0.313437
        10     0.312874
        11     0.311198
        12     0.309045
        13     0.306702
        14     0.304611
        15     0.302580
        16     0.302653
        17     0.301718
        18     0.301613
        19     0.301625
        20     0.298907
# Cycle: 2, status: BTL, move: ('sh', 0.32441370139801695, 4, 0)
#     Time       Orderp
         0     0.324414
         1     0.325586
         2     0.327687
         3     0.328732
         4     0.330544
         5     0.331766
         6     0.332600
         7     0.334140
         8     0.335759
         9     0.337595
        10     0.339936
        11     0.342404
        12     0.344041
        13     0.345227
        14     0.346553
        15     0.345861
        16     0.346099
        17     0.345403
        18     0.344596
        19     0.343058
        20     0.342283
        21     0.339726
        22     0.338634
        23     0.336572
        24     0.335638
        25     0.334977
        26     0.334485
        27     0.335539
        28     0.336331
        29     0.337600
        30     0.339532
        31     0.340950
        32     0.340792
        33     0.341544
        34     0.339661
        35     0.338632
        36     0.337193
        37     0.335914
        38     0.335152
        39     0.334923
        40     0.334617
# Cycle: 3, status: BWI, move: ('sh', 0.4209282219268653, 20, 0)
#     Time       Orderp
         0     0.420928
         1     0.425255
         2     0.428979
         3     0.434257
         4     0.439282
         5     0.445485
         6     0.451307
         7     0.457921
         8     0.464277
         9     0.469856
        10     0.475894
        11     0.480748
        12     0.485372
        13     0.489473
        14     0.493673
        15     0.496829
        16     0.500887
# Cycle: 4, status: BTL, move: ('sh', 0.44688547191829425, 24, 0)
#     Time       Orderp
         0     0.446885
         1     0.447319
         2     0.446963
         3     0.447082
         4     0.446377
         5     0.445982
         6     0.444837
         7     0.443814
         8     0.442692
         9     0.440862
        10     0.439593
        11     0.437887
        12     0.435535
        13     0.434398
        14     0.432183
        15     0.429957
        16     0.429154
        17     0.426867
        18     0.425558
        19     0.424769
        20     0.423299
        21     0.422428
        22     0.421755
        23     0.420692
        24     0.419702
        25     0.418574
