# Cycle: 0, status: ACC
#     Step              Filename       index    vel
         0           2_trajB.rkf          24     -1
         1           2_trajB.rkf          23     -1
         2           2_trajB.rkf          22     -1
         3           2_trajB.rkf          21     -1
         4           2_trajB.rkf          20     -1
         5           2_trajB.rkf          19     -1
         6           2_trajB.rkf          18     -1
         7           2_trajB.rkf          17     -1
         8           2_trajB.rkf          16     -1
         9           2_trajB.rkf          15     -1
        10           2_trajB.rkf          14     -1
        11           2_trajB.rkf          13     -1
        12           2_trajB.rkf          12     -1
        13           2_trajB.rkf          11     -1
        14           2_trajB.rkf          10     -1
        15           2_trajB.rkf           9     -1
        16           2_trajB.rkf           8     -1
        17           2_trajB.rkf           7     -1
        18           2_trajB.rkf           6     -1
        19           2_trajB.rkf           5     -1
        20           2_trajB.rkf           4     -1
        21           2_trajB.rkf           3     -1
        22           2_trajB.rkf           2     -1
        23           2_trajB.rkf           1     -1
        24           2_trajB.rkf           0     -1
        25           1_trajF.rkf           0      1
        26           1_trajF.rkf           1      1
        27           1_trajF.rkf           2      1
        28           1_trajF.rkf           3      1
        29           1_trajF.rkf           4      1
        30           1_trajF.rkf           5      1
        31           1_trajF.rkf           6      1
        32           1_trajF.rkf           7      1
        33           1_trajF.rkf           8      1
        34           1_trajF.rkf           9      1
        35           1_trajF.rkf          10      1
